autor_original	autor_normalizado
Budderii (Christophori)	Budderii (Christophori)
Buffon (El Conde de)	Buffon (El de)
Buisigni (Mr.)	Buisigni (Mr.)
Bulengerum (Julius Caesar)	Bulengerum (Julius Caesar)
Bullandus (Paulus)	Bullandus (Pablo)
Bumerii (Friederici)	Bumerii (Friederici)
Buonarici (Conde Cartuccio)	Buonarici (Cartuccio)
Buonaroti (Philipo)	Buonaroti (Philipo)
Burbiquiy (Hugonii)	Burbiquiy (Hugonii)
Burchii (D.)	Burchii (D.)
Bure (Guillaume Francois)	Bure (Guillermo Francois)
Burgii (Petri)	Burgii (Pedro)
Burgillos (tome de)	Burgillos (tome de)
Burgmani (Jo)	Burgmani (Jo)
Burgos, alias a Salamanca (Antonii)	Burgos alias a Salamanca (Antonio)
Burgos (Almo)	Burgos (Almo)
Burgos (Sebastiani)	Burgos (Sebastiani)
Burgundi (Nicolai)	Burgundi (Nicolás)
Burhilli Etnoli (Robertii)	Burhilli Etnoli (Robertii)
Buri (Jo. Michaelis)	Buri (Jo Miguel)
Burkhii (Hermanni)	Burkhii (Hermanni)
Burlamaqui (Y.I.)	Burlamaqui (Y.I.)
Burmani (Petri)	Burmani (Pedro)
Burstarfio (Martinio)	Burstarfio (Martinio)
Buscayolo (Margs.)	Buscayolo (Margs.)
Busching (Mr.)	Busching (Mr.)
Buserbaum (Hermani)	Buserbaum (Hermani)
Busisier (Jo)	Busisier (Jo)
Bustamante (Jo)	Bustamante (Jo)
Busto (D. Bernabé)	Busto (D Bernabé)
But. (Guilhelmi)	But (Guilhelmi)
Butron (Dr. Juande)	Butron (Dr Juande)
Butxon (P. Joseph Antonio)	Butxon (P Joseph Antonio)
Buxoldiamy (Gerardus)	Buxoldiamy (Gerardus)
Buyanda (D. Gaspar)	Buyanda (D Gaspar)
Cabanach (D. Poncio)	Cabanach (D Poncio)
Cabanile (D. Antonio)	Cabanile (D Antonio)
Cabassutii (Jo)	Cabassutii (Jo)
Cabaza (D. Joseph Isidro)	Cabaza (D Joseph Isidro)
Cabedo (D. Georgius)	Cabedo (D Jorge)
Cabrera (Claudio Antonio)	Cabrera (Claudio Antonio)
Cabrera (D. Melchor)	Cabrera (D Melchor)
Cabrera de Cordova (D. Luis)	Cabrera de Cordova (D Luis)
Cabrera (Fr. Alonso)	Cabrera (Fr Alonso)
Cabreros Avendaño (D. Antonio)	Cabreros Avendaño (D Antonio)
Cacere (Antonio)	Cacere (Antonio)
Caceres (Francisco)	Caceres (Francisco)
Caceres, y Sotomayor (D. Fr. Antonio)	Caceres y Sotomayor (D Fr Antonio)
Cadiz (P. Fr. Diego)	Cadiz (P Fr Diego)
Caesarii (Jo)	Caesarii (Jo)
Caesarii (Julii)	Caesarii (Julii)
Caesaxiensis (Prisciani)	Caesaxiensis (Prisciani)
Cajetanus (Constantinus)	Cajetanus (Constantinus)
Calà (D. Carolus)	Calà (D Carlos)
Calà (D.D. Hyeronimus)	Calà (D Hyeronimus)
Calculatorii (Suisset Anglici)	Calculatorii (Suisset Anglici)
Calda, Pereira (D. Francisc.)	Calda Pereira (D Francisc.)
Caldera (Eduardus)	Caldera (Eduardus)
Calderon (Bartolomei Roderici)	Calderon (Bartolomei Roderici)
Calderon (D. D. Antonio)	Calderon (D D Antonio)
Calderon (D. Joseph)	Calderon (D Joseph)
Calderon (D. Juan Alonso)	Calderon (D Juan Alonso)
Calderon (D. Luis Francisco)	Calderon (D Luis Francisco)
Calderon (D. Pedro)	Calderon (D Pedro)
Calepini (Ambrosii)	Calepini (Ambrosii)
Calleja... (Alonso)	Calleja (Alonso)
Calliati (Nicephori)	Calliati (Nicephori)
Calliere (M. de)	Calliere (M de)
Calmet (P. Augustini)	Calmet (P Agustín)
Calsi (Maximiliano)	Calsi (Maximiliano)
Calveti (Jo. Christophori)	Calveti (Jo Christophori)
Calvini (Jo)	Calvini (Jo)
Calvino... (Cesar)	Calvino (Cesar)
Calvo, y Julian (Dn Vicente)	Calvo y Julian (Dn Vicente)
Camarao (Dn Geronimo)	Camarao (Dn Geronimo)
Camaxa (F. Maxi dela)	Camaxa (F Maxi dela)
Camberlain (Juan)	Camberlain (Juan)
Camdeni (Guillelmi)	Camdeni (Guillelmi)
Camerarius (Joachimi)	Camerarius (Joachimi)
Camimy (Nicolaus)	Camimy (Nicolás)
Camini (Angeli)	Camini (Angeli)
Camino, y Velasco (Dn Pedro)	Camino y Velasco (Dn Pedro)
Campana (Jo Maria)	Campana (Jo Maria)
Campanella (F. Thomas)	Campanella (F Tomás)
Campanile (Filiberto)	Campanile (Filiberto)
Campany (Dn Antonio)	Campany (Dn Antonio)
Campeggi (il Conte Ridolfo)	Campeggi (il Conte Ridolfo)
Campeggi (Thomas)	Campeggi (Tomás)
Campillo et Mateu (Antoni)	Campillo et Mateu (Antoni)
Campillo (Ginés)	Campillo (Ginés)
Campo (Dn Venacio)	Campo (Dn Venacio)
Campo y Herrera (D. Nicolas)	Campo y Herrera (D Nicolas)
Campomanes (Dn Pedro Rodriguez)	Campomanes (Dn Pedro Rodriguez)
Campos (D. Vicente)	Campos (D Vicente)
Campos (M. F. Marco)	Campos (M F Marco)
Camps (el Abate)	Camps (el Abate)
Cancer y Velasco (D. Jeronimo)	Cancer y Velasco (D Jeronimo)
Candamo (D. Francisco)	Candamo (D Francisco)
Cangiamila (D. Francisco)	Cangiamila (D Francisco)
Canivell (Dn Fran.)	Canivell (Dn Fran.)
Cano (Dn Joannis)	Cano (Dn Joannis)
Cano (Fr Pedro)	Cano (Pedro)
Cano (Melchor)	Cano (Melchor)
Canonhexii (Petri Andrae)	Canonhexii (Pedro Andrae)
Cantalicio (Monsig)	Cantalicio (Monsig)
Cantera (Didaci a)	Cantera (Didaci a)
Cantexi (Guilhelmi)	Cantexi (Guilhelmi)
Cantos ... (D. Pedro a)	Cantos (D Pedro a)
Cañes (P. F. Francisco)	Cañes (P F Francisco)
Capacii (Jo. Caesaris)	Capacii (Jo Caesaris)
Capel... (Fr. Christoval)	Capel (Fr Christoval)
Capellae (Prosperi)	Capellae (Prosperi)
Capeluchi (P. Juan)	Capeluchi (P Juan)
Capilla (F. Andrej)	Capilla (F Andrej)
Capistranu (Jo.)	Capistranu (Jo.)
Capmany (D.ª Gerónimo)	Capmany (Gerónimo)
Capmany y Montpalau (Dn Antonio a)	Capmany y Montpalau (Dn Antonio a)
Cappelli (Ludovicus)	Cappelli (Luis)
Cappuzean (Charles)	Cappuzean (Carlos)
Capriceta (Pietro Gior.)	Capriceta (Pietro Gior.)
Capuano (D.ª Nicola)	Capuano (Nicola)
Caracioli (Joan)	Caracioli (Joan)
Caraciolo (Cittarque de)	Caraciolo (Cittarque de)
Caramuel (D. Jo.)	Caramuel (D Jo.)
Carbone (Ludovicus)	Carbone (Luis)
Carbonell (Mosen Pere Miquel)	Carbonell (Mosen Pere Miquel)
Carcaga (Margar.)	Carcaga (Margar.)
Cardenas (D. Salvador)	Cardenas (D Salvador)
Cardillo Villapando (Gasparis)	Cardillo Villapando (Gasparis)
Cardona (D. etruxes)	Cardona (D etruxes)
Cardona (Jo. Baptista)	Cardona (Jo Baptista)
Cardoso Ossorio (Benedicti)	Cardoso Ossorio (Benedicti)
Carleval (D. Thomas)	Carleval (D Tomás)
Carli (El Conde de)	Carli (El de)
Carmeno (Antonio)	Carmeno (Antonio)
Carmens (diversos)	Carmens (diversos)
Caro de Torres (diz. Franco)	Caro de Torres (diz Franco)
Caro (Dn Rodrigo)	Caro (Dn Rodrigo)
Carpenteyi (Joannis)	Carpenteyi (Joannis)
Carpiñano (El Príncipe de)	Carpiñano (El Príncipe de)
Carpio (D. Francisco)	Carpio (D Francisco)
Carpzovius (Benedictus)	Carpzovius (Benedictus)
Carranza (Alphonsus)	Carranza (Alphonsus)
Carranza (Bartholomeus)	Carranza (Bartholomeus)
Carrascal (D. Joseph Renales)	Carrascal (D Joseph Renales)
Carrasco (D. Francisci)	Carrasco (D Francisco)
Carrera (D. Francisco)	Carrera (D Francisco)
Carrillo (D. Alonso)	Carrillo (D Alonso)
Carrillo (D. Luis)	Carrillo (D Luis)
Carrillo (D. Martin)	Carrillo (D Martin)
Carrillo de Acuña (H. D. Petri)	Carrillo de Acuña (H D Pedro)
Cartagrola (Gio. Antonio)	Cartagrola (Gio Antonio)
Carthagena (D.D. Bartholomei)	Carthagena (D Bartholomei)
Carthagena (P. Joannis)	Carthagena (P Joannis)
Carthier (P. Galli)	Carthier (P Galli)
Carthusiani (Dionisii Ricket)	Carthusiani (Dionisii Ricket)
Cary (Mr.)	Cary (Mr.)
Casalbon (D. Raphael)	Casalbon (D Raphael)
Casalius (Jo. Baptista)	Casalius (Jo Baptista)
Casanova (M. Joseph)	Casanova (M Joseph)
Casar (Fr. Francisco)	Casar (Fr Francisco)
Casas et Pexena (Sebastiani)	Casas et Pexena (Sebastiani)
Casas (Vltimo S. D. Bartolome)	Casas (Vltimo S D Bartolome)
Casaubonius (Isaacus)	Casaubonius (Isaacus)
Cascales (Liz. Francisco)	Cascales (Liz Francisco)
Casella (Petrus Leo)	Casella (Pedro Leo)
Casexo (Dn Antonio)	Casexo (Dn Antonio)
Casini (Michaelis)	Casini (Miguel)
Casio, y Celis (D. Pedro)	Casio y Celis (D Pedro)
Casius (Stephani)	Casius (Esteban)
Cassan (Mr. Jacques)	Cassan (Mr Jacobo)
Cassii Cocesani (Dionis)	Cassii Cocesani (Dionis)
Castañaga (Marques, M.)	Castañaga (M.)
Castañeda (D.º Guillen Baxbony)	Castañeda (º Guillen Baxbony)
Castel (Mr. Charles Ixeret)	Castel (Mr Carlos Ixeret)
Castel (P. J. Antonius)	Castel (P J Antonio)
Castella.. Ferrer (D.º Mauro)	Castella Ferrer (º Mauro)
Castellanos (Juan)	Castellanos (Juan)
Castellanus (Petrus)	Castellanus (Pedro)
Castellanus (Vicentius)	Castellanus (Vicentius)
Castelli (Baxolomaei)	Castelli (Baxolomaei)
Castelli (Didaci)	Castelli (Didaci)
Castelli (P. Antonii)	Castelli (P Antonio)
Castellius (D.º Franciscus)	Castellius (º Francisco)
Castelnov (D.º Joseph)	Castelnov (º Joseph)
Casti inocentis (Itmadi)	Casti inocentis (Itmadi)
Castigon (Ategidi)	Castigon (Ategidi)
Castilla (D.º Francisco)	Castilla (º Francisco)
Castillo (Antonio de)	Castillo (Antonio de)
Castillo (Bernal Díaz del)	Castillo (Bernal Díaz del)
Castillo (D. Alonso)	Castillo (D Alonso)
Castillo (D. Jo)	Castillo (D Jo)
Castillo (D. Leonardo de)	Castillo (D Leonardo de)
Castillo (D. Martín)	Castillo (D Martín)
Castillo (D. Ventura)	Castillo (D Ventura)
Castillo et Ariga (D. Didacus)	Castillo et Ariga (D Didacus)
Castillo (Julian de)	Castillo (Julian de)
Castillo (M. F. Fernando)	Castillo (M F Fernando)
Castres (M. L'Abbe)	Castres (M L'Abbe)
Castro (D. Francisco Antonio)	Castro (D Francisco Antonio)
Castro (D. Juan Francisco)	Castro (D Juan Francisco)
Castro (Dn Joseph)	Castro (Dn Joseph)
Castro (Dn Joseph Rodriguez)	Castro (Dn Joseph Rodriguez)
Castro (Dn Nicolas Fernandez)	Castro (Dn Nicolas Fernandez)
Castro (Dn Pedro)	Castro (Dn Pedro)
Castro (F. Alphonsi à)	Castro (F Alphonsi à)
Castro (Leonis)	Castro (Leonis)
Castro (P. Francisco)	Castro (P Francisco)
Castro (Paez de)	Castro (Paez de)
Castro (Rodericus)	Castro (Rodericus)
Cato... (Mr.)	Cato (Mr.)
Catoyxa (P. Fonacio)	Catoyxa (P Fonacio)
Cauzeara (Philippo)	Cauzeara (Philippo)
Cavaccia (Jo)	Cavaccia (Jo)
Cavalieri (Jo)	Cavalieri (Jo)
Cavallero (D. Joseph Garcia)	Cavallero (D Joseph Garcia)
Cavalló (P.D. Luis)	Cavalló (D Luis)
Cavanille (Mr. l'Abbé)	Cavanille (Mr l'Abbé)
Caveza de Paca (Hilmo D. Luis)	Caveza de Paca (Hilmo D Luis)
Caxa de Sevuela (D. Miguel)	Caxa de Sevuela (D Miguel)
Caxafa (Carol.)	Caxafa (Carol.)
Caxaval (Ilmo Dn Pedro)	Caxaval (Dn Pedro)
Caxballo (Luis Alfonso)	Caxballo (Luis Alfonso)
Caxdaru (Hyeronimus)	Caxdaru (Hyeronimus)
Caxionis (Ludovici)	Caxionis (Luis)
Caxmona (D. Emmanuelis Atxedomdo)	Caxmona (D Emmanuelis Atxedomdo)
Caxystii (Antigoni)	Caxystii (Antigoni)
Cayxaios... de Figueora (D. Bartolomé)	Cayxaios de Figueora (D Bartolomé)
Cazada (D. Bernardo Maria)	Cazada (D Bernardo Maria)
Cedillo... (D. Pedro Manuel)	Cedillo (D Pedro Manuel)
Celso (Hugo)	Celso (Hugo)
Cenalis (Robertus)	Cenalis (Robertus)
Cennii (Cajetani)	Cennii (Cajetani)
Cenobii (Petri)	Cenobii (Pedro)
Censor (el)	Censor (el)
Cerda (F. Juan de la)	Cerda (F Juan de la)
Cerda (Luis Valle de la)	Cerda (Luis Valle de la)
Cerda (Melchior)	Cerda (Melchior)
Cerdà y Rico (Dr. Francisco)	Cerdà y Rico (Dr Francisco)
Cerdan detallada (Dª Dª Thomas)	Cerdan detallada (Dª Dª Tomás)
Cernadas, y Castro (D. Diego Antonio)	Cernadas y Castro (D Diego Antonio)
Cerpedes (Dn Andres)	Cerpedes (Dn Andres)
Cerpedes, y Acencio (Dn Gonzalo de)	Cerpedes y Acencio (Dn Gonzalo de)
Cerrino, y Muga (Dn Joseph)	Cerrino y Muga (Dn Joseph)
Cerrío (Julio)	Cerrío (Julio)
Cervantes (Caveda)	Cervantes (Caveda)
Cervantes (D. Manuel Antonio)	Cervantes (D Manuel Antonio)
Cervantes (Dn Pedro)	Cervantes (Dn Pedro)
Cervantes (Joanney Guillen)	Cervantes (Joanney Guillen)
Cervellon (Conde de)	Cervellon
Cervera (el Licenciado)	Cervera (el Licenciado)
Cesareo (Christophori)	Cesareo (Christophori)
Cevallos (Dn Juan Joseph)	Cevallos (Dn Juan Joseph)
Cevallos (Hyeronimi)	Cevallos (Hyeronimi)
Chacon (Gonzalo)	Chacon (Gonzalo)
Chamberlan (Juan)	Chamberlan (Juan)
Champagne (F. Juan)	Champagne (F Juan)
Chassanei (Alexandri)	Chassanei (Alexandri)
Chateaunexon (El cav. R.)	Chateaunexon (El cav R.)
Chavazzi et Eouia (Pet)	Chavazzi et Eouia (Pet)
Chavexo (Dn Juan)	Chavexo (Dn Juan)
Cherme (Andre du)	Cherme (Andre du)
Chesne (M. du)	Chesne (M du)
Chevillier (Mr. André)	Chevillier (Mr André)
Chifletius (Jo. Jacob.)	Chifletius (Jo Jacob.)
Choppinus (Renatus)	Choppinus (Renatus)
Choquier (Erasmus)	Choquier (Erasmus)
Choquier (Jo)	Choquier (Jo)
Choul (S. Guillaume)	Choul (S Guillermo)
Chrisiani (Siebentali)	Chrisiani (Siebentali)
Christian (Eirathiae)	Christian (Eirathiae)
Christian (Thomaeii)	Christian (Thomaeii)
Chrysostomi (S. Joa)	Chrysostomi (S Joa)
Chueca, y Mezquita (D. Joseph)	Chueca y Mezquita (D Joseph)
Chumacero, y Carrillo (D. Juan)	Chumacero y Carrillo (D Juan)
Chxillon (Aaron)	Chxillon (Aaron)
Chytraeus (David)	Chytraeus (David)
Ciaconi (Alphonsi)	Ciaconi (Alphonsi)
Ciaconi (Petri)	Ciaconi (Pedro)
Cibdaxcal (Fernan Gomez de)	Cibdaxcal (Fernan Gomez de)
Ciccarelli (Antonio)	Ciccarelli (Antonio)
Ciceronis (M. Tull.)	Ciceronis (M Tull.)
Cid. Miranda (To)	Cid Miranda (To)
Cidonii (C. P. Endemotij To)	Cidonii (C P Endemotij To)
Cienfuegos (D.ª Beatriz)	Cienfuegos (Beatriz)
Cienfuegos (M. Alvaro)	Cienfuegos (M Alvaro)
Cifuentes (Michaelis)	Cifuentes (Miguel)
Cirer y Cerda (D. Miguel)	Cirer y Cerda (D Miguel)
Cixoni (Inocentii)	Cixoni (Inocentii)
Cixuelo (Petri)	Cixuelo (Pedro)
Clapmadius (Arnoldus)	Clapmadius (Arnoldus)
Clari (D. Francisco)	Clari (D Francisco)
Claudiani (C.L.)	Claudiani (C.L.)
Clavel de Bzenhej (Abrahamus Daniel)	Clavel de Bzenhej (Abrahamus Daniel)
Clavero (D. Vicente)	Clavero (D Vicente)
Clavigero (D. Francisco Saverio)	Clavigero (D Francisco Saverio)
Clavijo y Fajardo (D. Joseph)	Clavijo y Fajardo (D Joseph)
Claxiana, y Gualbes (D. Antonio)	Claxiana y Gualbes (D Antonio)
Clementis (Davidis)	Clementis (Davidis)
Clementis (P. Claudio)	Clementis (P Claudio)
Clenardi (Nicolai)	Clenardi (Nicolás)
Cliquet (F. Joseph Faustino)	Cliquet (F Joseph Faustino)
Cloppenburgi (Joa)	Cloppenburgi (Joa)
Clubezii (Philippi)	Clubezii (Felipe)
Coaesii (Henrici)	Coaesii (Henrici)
Cocceji (Samuelis)	Cocceji (Samuelis)
Cockier (C.)	Cockier (C.)
Codozio (P. Antonio)	Codozio (P Antonio)
Coeffiteau (F. N.)	Coeffiteau (F N.)
Cohelius (Jacobus)	Cohelius (Jacobo)
Cohontuel (M.)	Cohontuel (M.)
Coimè (El P. de)	Coimè (El P de)
Colber (Mr.)	Colber (Mr.)
Colesus (Juan)	Colesus (Juan)
Colina (D. Juan Antonio)	Colina (D Juan Antonio)
Collado (dudovici)	Collado (dudovici)
Collado (J. Didaci)	Collado (J Didaci)
Collante (D. Jacobi)	Collante (D Jacobo)
Collemicio (M. Pandolfo)	Collemicio (M Pandolfo)
Colmenares (Diego de)	Colmenares (Diego de)
Colmenero (Dn Joseph)	Colmenero (Dn Joseph)
Coloma (Dn Carlos)	Coloma (Dn Carlos)
Colombet (Antonio)	Colombet (Antonio)
Colombier (Mr.)	Colombier (Mr.)
Colomesii (Pauli)	Colomesii (Pablo)
Colon (Dn Joseph Juan)	Colon (Dn Joseph Juan)
Colon y Larreategui (Dn Felix)	Colon y Larreategui (Dn Felix)
Colonia (P.)	Colonia (P.)
Colonia (P. Dominic.)	Colonia (P Dominic.)
Columbi (Christophori)	Columbi (Christophori)
Columella (L. Junius Moderatus)	Columella (L Junius Moderatus)
Columna (Hegidius)	Columna (Hegidius)
Columnae (Guidonis)	Columnae (Guidonis)
Comazzi (Gio Battista)	Comazzi (Gio Battista)
Combes (P. Francisco)	Combes (P Francisco)
Comestagio (Geronimo Franchi)	Comestagio (Geronimo Franchi)
Commandinus (Fridericus)	Commandinus (Fridericus)
Company (Fr. Joaquin)	Company (Fr Joaquin)
Compre (Mn.)	Compre (Mn.)
Concha (Paulus)	Concha (Pablo)
Conchillos (Dr. Joseph)	Conchillos (Dr Joseph)
Confalonexius (To. Baptist.)	Confalonexius (To Baptist.)
Connari (Francisci)	Connari (Francisco)
Connelly (P. F. Thomas)	Connelly (P F Tomás)
Conradi (Franc. Caroli)	Conradi (Franc Carlos)
Conradi (Jo.)	Conradi (Jo.)
Conradi Zahn (Balthasar)	Conradi Zahn (Balthasar)
Conradus (Brunus)	Conradus (Brunus)
Conringius (Hermannus)	Conringius (Hermannus)
Constant. (D. Petri)	Constant (D Pedro)
Constantini (Dr Joseph Ant.)	Constantini (Joseph Ant.)
Contaxemus (Gaspar)	Contaxemus (Gaspar)
Contaxemus (Vicentius)	Contaxemus (Vicentius)
Contaxenus (Thomas)	Contaxenus (Tomás)
Conteloxii (Felix)	Conteloxii (Felix)
Conti (D. Juan Bautista)	Conti (D Juan Bautista)
Contii (Antonio)	Contii (Antonio)
Contreras (Dr. Juan Simon)	Contreras (Dr Juan Simon)
Contzen (P. Adam)	Contzen (P Adam)
Corbera (Estevan de)	Corbera (Estevan de)
Cordova (Alphonsi a)	Cordova (Alphonsi a)
Cordova (Antonii)	Cordova (Antonio)
Corines (M. Philippe)	Corines (M Felipe)
Corines (Pedro)	Corines (Pedro)
Cornazano (D. Antonio)	Cornazano (D Antonio)
Cornejo (D. Andrés)	Cornejo (D Andrés)
Cornejo (D. Pedro)	Cornejo (D Pedro)
Cornelius (Ennius)	Cornelius (Ennius)
Cornella (D. Luciano)	Cornella (D Luciano)
Coronel (D. Diego Gutiérrez)	Coronel (D Diego Gutiérrez)
Cortada (D. Michaelis)	Cortada (D Miguel)
Cortavarría et Dárruiz (D. D. Fonati)	Cortavarría et Dárruiz (D D Fonati)
Cortereal (Gerónimo)	Cortereal (Gerónimo)
Cortes (D. Christobal)	Cortes (D Christobal)
Cortés del Rey (Fr. Bonifacio)	Cortés del (Fr Bonifacio)
Cortes (Gerónimo)	Cortes (Gerónimo)
Cortés (Hernan)	Cortés (Hernan)
Cortés (Martin)	Cortés (Martin)
Cortesius (Paulus)	Cortesius (Pablo)
Cortiada (D. Sebastian)	Cortiada (D Sebastian)
Cortines y Andrade (D.º Ramon)	Cortines y Andrade (º Ramon)
Corvalan (D.º Juan Lopez)	Corvalan (º Juan Lopez)
Coscius (Christophorus)	Coscius (Christophorus)
Coscoll y Alimona (D.º Joseph)	Coscoll y Alimona (º Joseph)
Costa (Emmanuelis)	Costa (Emmanuelis)
Costa (Jo.)	Costa (Jo.)
Costalii (Petri)	Costalii (Pedro)
Couleii (Abrahani)	Couleii (Abrahani)
Couto (Diego do)	Couto (Diego do)
Covarrubias (D. Joseph)	Covarrubias (D Joseph)
Covarrubias (D. Juan Horozco y)	Covarrubias (D Juan Horozco y)
Covarrubias (Illustrissimi D.D. Didaci a)	Covarrubias (Illustrissimi D Didaci a)
Coxachan (Joan Baptistae)	Coxachan (Joan Baptistae)
Coxadii (Sebastiani)	Coxadii (Sebastiani)
Coxal (Dn Gabriel)	Coxal (Dn Gabriel)
Coxal (F. Eugenio)	Coxal (F Eugenio)
Coxasius (Jo.)	Coxasius (Jo.)
Coxdexii (Atatuxini)	Coxdexii (Atatuxini)
Coxea (Dn Placido)	Coxea (Dn Placido)
Coxea (M. Gonzalo)	Coxea (M Gonzalo)
Coxini (Jo. Arnald)	Coxini (Jo Arnald)
Coxo (D. Didac)	Coxo (D Didac)
Coyen... (El Abate.)	Coyen (El Abate.)
Cozavi... (Jo)	Cozavi (Jo)
Craenius (Thomas)	Craenius (Tomás)
Cramerii (Jo Georgi)	Cramerii (Jo Georgi)
Crasso (Lorenzo)	Crasso (Lorenzo)
Cratopoli (J. Petri)	Cratopoli (J Pedro)
Crean (D. Eduardo)	Crean (D Eduardo)
Cresollii (Ludovici)	Cresollii (Luis)
Crespi de Saldanha (D. Christophori)	Crespi de Saldanha (D Christophori)
Cretieri (Jacobi)	Cretieri (Jacobo)
Crevier (M.)	Crevier (M.)
Crinitus (Petrus)	Crinitus (Pedro)
Crominii (Jo)	Crominii (Jo)
Crucio (dudovici)	Crucio (dudovici)
Cruz (Dn Felipe)	Cruz (Dn Felipe)
Cruz (J. Jeronimo de la)	Cruz (J Jeronimo de la)
Cuenca (D. Jo.)	Cuenca (D Jo.)
Cueva (Luis de la)	Cueva (Luis de la)
Cunalijs (Petri)	Cunalijs (Pedro)
Cunani (Raphaelis)	Cunani (Raphaelis)
Cunha (Ihm. D. Rodericus)	Cunha (Ihm D Rodericus)
Cunicke (Reinoldi)	Cunicke (Reinoldi)
Cupezi (Gubertin)	Cupezi (Gubertin)
Curiano (D. Luis)	Curiano (D Luis)
Curtelius (Maximus)	Curtelius (Maximus)
Curtii (Quinti)	Curtii (Quinti)
Cusa (Nicolai)	Cusa (Nicolás)
Cusacii (Jacobi)	Cusacii (Jacobo)
Custodio (D. Manuel)	Custodio (D Manuel)
D. Manuel Thesaurus (D. Manuel)	D Manuel Thesaurus (D Manuel)
Dacampo (Ct. Florian)	Dacampo (Ct Florian)
Dairnval (Mr. Baudelot de)	Dairnval (Mr Baudelot de)
Daitaring (Lamindus)	Daitaring (Lamindus)
Dalbi (Francisco)	Dalbi (Francisco)
Damasceni (Gregorii)	Damasceni (Gregorio)
Damer (Lamberti)	Damer (Lamberti)
Dancej. Candamo (Dn Fran.co Antonio)	Dancej Candamo (Dn Fran.co Antonio)
Danetii (Petri)	Danetii (Pedro)
Daniel (Jacobus)	Daniel (Jacobo)
Daniel (P. Gabriel)	Daniel (P Gabriel)
Dante (C.)	Dante (C.)
Danville (Chr.)	Danville (Chr.)
Darrantes (Pedro)	Darrantes (Pedro)
Dartis (Jo)	Dartis (Jo)
Datei (Georgi)	Datei (Georgi)
David (El Santo Rey)	David (El)
David (Le Sieur)	David (Le Sieur)
Davila (Alonso Juan)	Davila (Alonso Juan)
Davila (D. Sancho)	Davila (D Sancho)
Davila (Enrico Caterino)	Davila (Enrico Caterino)
Davila (Gil Gonzalez)	Davila (Gil Gonzalez)
Davila Oxen (D. Fran.)	Davila Oxen (D Fran.)
Davila, y Heredia (Andres)	Davila y Heredia (Andres)
Davila, y S. Pitorres (Jerónimo Juan)	Davila y S Pitorres (Jerónimo Juan)
Daza (J. Antonio)	Daza (J Antonio)
Daza y Dezio (D. D. Juan)	Daza y Dezio (D D Juan)
Decü... (Francisci)	Decü (Francisco)
Degni (C.°)	Degni (C.°)
Degniadelli (Fran. Antonii)	Degniadelli (Fran Antonio)
Delfii (Ponti Heuterii)	Delfii (Ponti Heuterii)
Delgado (Pedro Núñez)	Delgado (Pedro Núñez)
Delrio (Martini Antonii)	Delrio (Martini Antonio)
Deman (Mary. de)	Deman (Mary de)
Denche (Jelland)	Denche (Jelland)
Dering (P. Anselmi)	Dering (P Anselmi)
Derouii (Jo. Bernardi)	Derouii (Jo Bernardo)
Descartes (Renati)	Descartes (Renati)
Desoldo (Christophori)	Desoldo (Christophori)
Despauterii (Jo.)	Despauterii (Jo.)
Deuter (D. Pedro Ant.)	Deuter (D Pedro Ant.)
Devoti (Jo)	Devoti (Jo)
Deza (Lope de)	Deza (Lope de)
Diaconus (Paulus)	Diaconus (Pablo)
Diana (P. Antonini)	Diana (P Antonini)
Diar de Rico (illmus D. Io.)	Diar de Rico (illmus D Io.)
Diar (Duarte)	Diar (Duarte)
Diar (P. Elig.)	Diar (P Elig.)
Diar (Pazos)	Diar (Pazos)
Dicastillo (R. Elig. I.)	Dicastillo (R Elig I.)
Dijnkershoek (Corneli)	Dijnkershoek (Corneli)
Dilfingery (Georgius)	Dilfingery (Jorge)
Dillet (Dr Pedro Pablo)	Dillet (Pedro Pablo)
Dion Navarro (Andrea)	Dion Navarro (Andrea)
Disse (Jo)	Disse (Jo)
Disve, yvidal (Fructuoso)	Disve yvidal (Fructuoso)
Diticii Jo (Mercerii)	Diticii Jo (Mercerii)
Divo Paulo (S. Laurentii à)	Divo Paulo (S Laurentii à)
Doca negra (Ilmo Dn. Francisco Alessandro)	Doca negra (Dn Francisco Alessandro)
Docalim (Trasano)	Docalim (Trasano)
Docexy (Henrriquy)	Docexy (Henrriquy)
Docti (Achilly)	Docti (Achilly)
Dodin (Charley)	Dodin (Charley)
Dodini (Jo)	Dodini (Jo)
Dodleri (Jo Enxxii)	Dodleri (Jo Enxxii)
Dohetius (Antonius Stanley torquatus)	Dohetius (Antonio Stanley torquatus)
Dominguez (D. Josef Ignacio)	Dominguez (D Josef Ignacio)
Dominguez Vicente (D. Josef Maria)	Dominguez Vicente (D Josef Maria)
Don... (Raymundi De Dominio)	(Raymundi De Dominio)
Donati (Aelii)	Donati (Aelii)
Donnat. (cit.)	Donnat (cit.)
Donnerechi (Aldovico)	Donnerechi (Aldovico)
Dorma Delgado (Rodrigo)	Dorma Delgado (Rodrigo)
Dormer (D.D. Diego)	Dormer (D Diego)
Dragoneti (D. Tacinto)	Dragoneti (D Tacinto)
Draudio (cu. Gregorio)	Draudio (cu Gregorio)
Drusi (Jo.)	Drusi (Jo.)
Duchesne (R.P.)	Duchesne (R.P.)
